threads,num_cells,execution_time_sec
1,3125,0.16566656000213698
2,6250,0.656923791000736
3,9375,0.9515090409986442
4,12500,1.491357770995819
5,15625,2.1508800579977105
6,18750,3.042983925995941
7,21875,3.9078639120052685
8,25000,4.836729864997324
9,28125,5.856909414003894
10,31250,7.877557324994996
11,34375,8.35450665299868
12,37500,9.386397007001506
13,40625,10.912273722002283
14,43750,13.78680406199419
15,46875,15.263177065004129
16,50000,16.615870241002995
17,53125,18.817253168002935
18,56250,19.6245124929992
19,59375,22.066033875998983
20,62500,24.915923707005277
21,65625,26.458132512998418
22,68750,29.43949625499954
23,71875,29.468118197000877
24,75000,32.35205074899568
25,78125,38.56334641900321
26,81250,40.498062472004676
27,84375,43.71698648099846
28,87500,43.46624978399632
29,90625,48.16433858999517
30,93750,55.44355990200711
31,96875,54.85581445499702
32,100000,58.58649976200104
